id,tweet_text,label,length
71,Faf du Plessis is still hitting them cleanly at 39. Remarkable athlete!,positive,71
28,IPL prize money has been increased this year apparently.,neutral,56
37,The broadcast commentary team has changed a bit this year.,neutral,58
31,The DRS system was used multiple times during today's match.,neutral,60
29,Rohit Sharma has been rested from a few matches this month.,neutral,59
77,Ground staff are working hard to keep pitches playable during the heat.,neutral,71
54,Way too many ads during the broadcast. Can't even follow the game properly.,negative,75
25,SRH made some interesting picks in the auction. Let's see how it goes.,neutral,70
96,Crowd at this venue looked half empty. People are losing interest in IPL.,negative,73
11,Rinku Singh doing it again! This guy has ice in his veins 🧊,positive,59
56,IPL auction system is broken. Small franchises can never compete financially.,negative,77
46,IPL is just too commercial now. It's lost its cricketing soul.,negative,62
89,Watching RCB lose is painful. They find new ways to disappoint every year.,negative,74
24,IPL schedule this year has some back-to-back matches which is a lot.,neutral,68
70,The T20 format at its best tonight. Every ball matters and it shows!,positive,68
8,Jasprit Bumrah is back and he looks lethal as ever. Missed him so much!,positive,71
97,Another match with a lopsided score. Not entertaining at all.,negative,61
27,KKR announced their playing XI for tonight's match.,neutral,51
62,Abhishek Sharma hitting 50+ off 20 balls is just insane. Next-level stuff!,positive,74
95,IPL is becoming too long. Playoff fatigue is real and fans are feeling it.,negative,74
42,MI's bowling is looking very weak this IPL. They're leaking too many runs.,negative,74
60,This match has been the most boring IPL game I have ever watched. Terrible.,negative,75
21,"IPL 2024 is okay so far. Some good matches, some dull ones.",neutral,59
52,The commentary is unbearable. Same jokes and catchphrases every single game.,negative,76
41,RCB collapsed again in the last three overs. Heartbreaking as always.,negative,69
58,Another top-order collapse from MI. Hardik Pandya is not the answer as captain.,negative,79
23,Watching the match. DC vs PBKS going on right now.,neutral,50
2,KKR is unstoppable this season. Shreyas Iyer leading brilliantly!,positive,65
6,The opening ceremony of IPL 2024 was spectacular. Loved every bit!,positive,66
1,IPL 2024 has been absolutely electric! Best season in years 🔥,positive,61
34,Wankhede Stadium is hosting 4 matches this week.,neutral,48
63,The IPL is the greatest T20 league in the world and it's not even close.,positive,72
79,The auction strategies of franchises vary quite a bit every year.,neutral,65
88,IPL teams care only about money. Player welfare is completely ignored.,negative,70
61,KKR are playing some incredible cricket. Their energy is contagious!,positive,68
13,What a tournament so far! Every team looks competitive this year.,positive,65
91,Hardik Pandya is getting booed every match. The team management needs to act.,negative,77
45,Terrible umpiring decision today. That was clearly not out!,negative,59
81,IPL viewership data for 2024 is expected to be released next month.,neutral,67
16,Heinrich Klaasen smashed another fifty today. What a find for SRH!,positive,66
12,IPL 2024 viewership is through the roof. Cricket is just on another level in India.,positive,83
38,IPL runs from March to late May approximately.,neutral,46
92,Impact Player rule needs to be scrapped immediately. Ruining team balance.,negative,74
43,Another slow and boring pitch. IPL is losing its entertainment value.,negative,69
36,I just check the scorecard occasionally. Don't follow every match.,neutral,66
80,Some overseas players opted out this season due to scheduling conflicts.,neutral,72
7,MI vs CSK match last night was a thriller. Can't sleep after that finish!,positive,73
33,LSG released several players before this season's auction.,neutral,58
44,PBKS choked again in a crucial match. Same story every season.,negative,62
98,LSG played without any strategy today. Poor captaincy from KL Rahul.,negative,68
73,Today's match was decent. Nothing too exciting but a competitive game.,neutral,70
10,Pat Cummins buying himself for 20 crore and then taking a hat-trick? Legendary stuff.,positive,85
26,The toss has a big impact in evening games due to the dew factor.,neutral,65
99,Ticket prices have gone up but the experience at grounds has gone down.,negative,71
20,Brilliant catch by Jitesh Sharma in the deep. Fielding standards are rising!,positive,76
67,Loved the fan moment when a kid caught a six at the stands. So wholesome!,positive,73
86,Ground conditions at this venue are just not suitable for T20 cricket.,negative,70
51,CSK looks really old this season. Time for a serious squad overhaul.,negative,68
68,IPL is genuinely the most exciting sporting event in India. Period.,positive,67
72,KKR winning close games is a sign of a champion team. Very impressed.,positive,69
83,This is the 17th season of the IPL since it started in 2008.,neutral,60
22,MI haven't been great but it's still early days in the tournament.,neutral,66
57,The wicket at this venue is terrible. Scores in the 120s are boring to watch.,negative,77
19,Watching IPL with family is one of the best things about April in India.,positive,72
76,Prasidh Krishna bowled decently in his spell today.,neutral,51
66,Brilliant innings by Shubman Gill. He's maturing beautifully as a batter.,positive,73
74,Checked the highlights this morning. Seems like a standard IPL match.,neutral,69
65,SRH vs PBKS was non-stop entertainment. Both teams gave it their all.,positive,69
50,Another match decided by dew. Pitches need to be better maintained.,negative,67
5,SRH batting lineup is on another level. Travis Head is a beast!,positive,63
53,RCB fans are delusional if they think this squad can win the title.,negative,67
100,Way too many franchise changes every season. No continuity or team identity.,negative,76
49,DC played pathetically today. Zero intensity and zero effort.,negative,61
64,Fantastic last over from Rashid Khan. Always delivers under pressure!,positive,69
9,LSG vs DC was such an entertaining game. IPL never disappoints!,positive,63
78,Another match tonight. Think I'll watch this one at home.,neutral,57
94,SRH's bowling was disgraceful in the last two overs. Absolutely no plan.,negative,72
87,The umpires gave three wrong decisions today. VAR equivalent needed in cricket.,negative,79
30,Both teams played well but eventually conditions decided the game.,neutral,66
69,RR looking very solid this season. Sanju Samson leading from the front.,positive,71
